,ID,LON,LAT,DATE,NS,country,pre_mm_syr,tmp_dc_syr,pet_mm_syr,aet_mm_syr,ari_ix_sav,cmi_ix_syr,basin_area_km2,HYBAS_ID,climdata_period_days,climdata_date_start,geometry,point_x,point_y,point_z,stream_x,stream_y,stream_z,ridge_x,ridge_y,ridge_z,wetness_index,long_hessian_max,long_hessian_mean,long_hessian_var,long_hessian_skew,long_hessian_kurt,long_grad_mean,long_grad_var,short_grad_max,short_grad_var,short_grad_mean,stream_grad_max,stream_grad_var,stream_grad_mean,stream_hessian_max,dist_stream,dist_top,ratio_dist,alt_stream,alt_top,ratio_stream,stream_to_total_dist_ratio,ndvi,precipitation
3524,51744,-0.561389,12.65147,2008-03-17,16.0,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2008-01-17,POINT (-2665829.433051137 1471389.1913934494),-2665829.433051137,1471389.1913934494,317.9956359863281,-2666239.2,1471579.8,314.34448,-2665789.2,1471489.8,317.1963,3.8076184,0.000754684,-1.7551834e-05,5.990468e-08,0.198055,2.8761919,1.0449399,0.43508923,2.8553128,0.5386887,1.530197,2.4780798,0.49663994,0.9691509,0.000655122,451.95410619447284,108.28993928363187,4.173555818613209,3.651153564453125,-0.799346923828125,0.0080785936324297,0.8067093436196744,1948.1969,0.00233894
3525,6863,-0.568472,12.65242,2007-02-24,11.46,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2006-12-26,POINT (-2666569.2900895956 1471490.6179174331),-2666569.2900895956,1471490.6179174331,316.8052062988281,-2666359.2,1471399.8,313.81915,-2666569.2,1471639.8,314.20032,3.9416828,0.0010326997,-2.548904e-05,5.272164e-08,0.40079433,3.6840024,0.96351373,0.41341493,2.7684906,0.3505747,1.7206764,1.8644547,0.17733866,1.3726643,0.00053106394,228.85326664909977,149.132087955282,1.534567575542311,2.986053466796875,-2.604888916015625,0.013047895319647696,0.605455380377446,1989.1904,0.00074278074
3526,7081,-0.584444444,12.658888889,2006-01-24,11.34,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2005-11-25,POINT (-2668243.1275787763 1472217.851164745),-2668243.1275787763,1472217.851164745,311.5167541503906,-2668219.2,1472269.8,310.31018,-2668309.2,1472209.8,311.63666,4.686244,0.00070593384,-4.326684e-05,4.1704116e-08,0.4517719,3.3906014,0.84074754,0.35890588,2.1066184,0.21222539,0.6967118,,,,,57.12817053829317,66.61684065388451,0.8575634926175677,1.206573486328125,0.119903564453125,0.02112046429912114,0.4616603933193908,2368.5994,0.0030191052
3527,7080,-0.586666667,12.661944444,2006-01-23,9.39,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2005-11-24,POINT (-2668478.7116038213 1472567.3909361663),-2668478.7116038213,1472567.3909361663,314.367431640625,-2668489.2,1472419.8,311.86594,-2668489.2,1472569.8,314.36743,3.9590359,0.00067901163,-3.432056e-05,3.7250384e-08,0.35955676,3.007959,0.83194894,0.294497,2.323544,0.3161918,1.1092067,1.785387,0.2263826,1.0975366,0.00052074215,148.01656605284427,10.799211831969181,4.9338855350948085,2.501495361328125,0.0,0.016900104008865137,0.9320016438177717,2372.5205,0.0030082606
3528,27575,-0.123611111,12.261666667,2007-02-01,14.96,Burkina,761,281,2019,642,38,-62,223.0664354804496,1120726320,60.0,2006-12-03,POINT (-2619694.1111293384 1426929.157253311),-2619694.1111293384,1426929.157253311,298.203857421875,-2619559.2,1427149.8,295.6304,-2619679.2,1426909.8,297.97015,4.569136,0.0009181686,-3.7236037e-05,7.019676e-08,0.21281312,3.1542444,1.122649,0.5656378,1.6383427,0.12172209,0.67392606,1.7394832,0.29904228,0.6795615,0.00018257521,258.55112472819695,24.443703612386713,8.618370824273232,2.573455810546875,-0.23370361328125,0.009953373102717043,0.9136249105479455,2478.3225,0.0003758898
3529,27570,-0.180277778,12.264722222,2005-11-19,27.22,Burkina,764,282,2023,644,38,-62,46.99263475189546,1121921650,30.0,2005-09-20,POINT (-2625606.4224181455 1427218.5629693463),-2625606.4224181455,1427218.5629693463,311.0780944824219,-2626219.2,1426999.8,303.3357,-2625709.2,1427029.8,308.38483,4.954919,0.001009279,-3.288628e-05,8.156991e-08,0.23511125,3.3562784,1.2042314,0.5692965,2.686904,0.33759353,1.0985694,2.5577369,0.3817531,1.2248071,0.00049120805,650.7201861290483,214.99732320058678,3.0266431992827356,7.742401123046875,-2.693267822265625,0.01189820338770224,0.7516541817814577,3955.6157,1.1047484
3530,25292,-0.145833333,12.377777778,2006-03-11,14.18,Burkina,710,282,2033,599,35,-65,150.87942671779382,1121918970,60.0,2006-01-10,POINT (-2622154.5696399724 1440302.1376709223),-2622154.5696399724,1440302.1376709223,287.4740295410156,-2622199.2,1440289.8,287.12512,-2622079.2,1440289.8,290.0925,4.2550287,0.00103821,-2.5292602e-05,7.422298e-08,0.3444624,3.3076394,1.0950401,0.49754196,2.8068633,0.5010562,1.348089,,,,,46.36581675194349,76.33153055227876,0.6074267922636238,0.348907470703125,2.61846923828125,0.007525101360120008,0.37788768682163637,2250.4443,0.029271826
3531,6860,-0.088722,12.46272,2007-02-18,22.08,Burkina,710,282,2033,599,35,-65,150.87942671779382,1121918970,60.0,2006-12-20,POINT (-2616303.960421957 1450162.9332741497),-2616303.960421957,1450162.9332741497,288.19805908203125,-2616469.2,1449469.8,279.857,-2616019.2,1450399.8,290.22546,5.6571503,0.0010339229,-2.0860749e-05,8.7715485e-08,0.11716,2.8440154,1.3173763,0.5636506,3.117104,0.48756945,1.3206581,2.6283805,0.43826243,1.5130403,0.00054380595,712.6174963965263,370.3271337796493,1.9242918797857935,8.341064453125,2.02740478515625,0.011704826916688175,0.6580368714516792,2240.5884,1.4412156e-05
3532,25061,-0.079166667,12.510277778,2006-03-22,13.82,Burkina,681,282,2039,574,33,-67,108.33531329587653,1120717310,60.0,2006-01-21,POINT (-2615366.0811996004 1455657.2924764338),-2615366.0811996004,1455657.2924764338,292.59682672265626,-2615539.2,1455469.8,290.88736,-2615449.2,1456309.8,307.06485,7.6243196,0.00110021,-6.1245584e-05,1.1328249e-07,0.22351108,2.7497857,1.4609556,0.79656863,3.136597,0.8390442,1.1775699,2.7818358,0.9609571,1.1983135,6.4620064e-05,255.26381235649217,657.7369302525592,0.3880940853640002,1.7094671035156352,14.468023130859365,0.006696864266558299,0.27958773793220953,2053.964,0.02751537
3533,25098,-0.032333,12.74417,2006-03-20,9.08,Burkina,625,282,2053,526,30,-70,151.5938600114488,1121914510,60.0,2006-01-19,POINT (-2610769.403409348 1482662.5005132717),-2610769.403409348,1482662.5005132717,276.57110595703125,-2610679.2,1482649.8,275.9663,-2610829.2,1482529.8,278.44516,4.7672763,0.00093255565,-5.5530436e-05,7.9918486e-08,0.48415774,3.3497877,1.0470763,0.6524185,2.4622836,0.41124153,0.87886053,1.4613284,0.30243626,0.5796053,-5.9435097e-05,91.05060574062828,145.61700857582966,0.6252745241172424,0.60479736328125,1.874053955078125,0.00664243096859903,0.3847193288511405,2284.4875,0.012033745
