,ID,LON,LAT,DATE,NS,country,pre_mm_syr,tmp_dc_syr,pet_mm_syr,aet_mm_syr,ari_ix_sav,cmi_ix_syr,basin_area_km2,HYBAS_ID,climdata_period_days,climdata_date_start,geometry,point_x,point_y,point_z,stream_x,stream_y,stream_z,ridge_x,ridge_y,ridge_z,wetness_index,long_hessian_max,long_hessian_mean,long_hessian_var,long_hessian_skew,long_hessian_kurt,long_grad_mean,long_grad_var,short_grad_max,short_grad_var,short_grad_mean,stream_grad_max,stream_grad_var,stream_grad_mean,stream_hessian_max,dist_stream,dist_top,ratio_dist,alt_stream,alt_top,ratio_stream,stream_to_total_dist_ratio,ndvi,precipitation
892,PI-0795-F,-12.9026111110051,10.7070277775659,2008-04-11,10.99,Guinee,2194,262,1854,1093,118,15,124.64584121530957,1120787350,60.0,2008-02-11,POINT (-3949188.946634453 1229081.9172305474),-3949188.946634453,1229081.9172305474,272.76513671875,-3948769.2,1229809.8,254.96925,-3949189.2,1228819.8,282.66516,5.9080296,0.00034255625,2.84958e-05,8.907552e-09,0.5369992,3.3684323,2.1583283,0.42936242,3.1462474,0.08336737,2.527057,2.4896855,0.24947801,1.8077738,2.2466715e-05,840.1701049549621,262.1674060663374,3.204708463043534,17.795883178710938,9.9000244140625,0.021181285877417525,0.7621713826798445,5027.93,0.68980235
893,PI-0794-F,-12.9026111110051,10.7070277775659,2008-04-10,23.0,Guinee,2194,262,1854,1093,118,15,124.64584121530957,1120787350,60.0,2008-02-10,POINT (-3949188.946634453 1229081.9172305474),-3949188.946634453,1229081.9172305474,272.76513671875,-3948769.2,1229809.8,254.96925,-3949189.2,1228819.8,282.66516,5.9080296,0.00034255625,2.84958e-05,8.907552e-09,0.5369992,3.3684323,2.1583283,0.42936242,3.1462474,0.08336737,2.527057,2.4896855,0.24947801,1.8077738,2.2466715e-05,840.1701049549621,262.1674060663374,3.204708463043534,17.795883178710938,9.9000244140625,0.021181285877417525,0.7621713826798445,5009.574,0.69027805
894,PI-0796-F,-12.6928333335453,10.9637777773539,2008-04-11,20.56,Guinee,2025,259,1857,1091,109,8,158.8264780952901,1121944130,60.0,2008-02-11,POINT (-3927811.495106734 1259231.6012163889),-3927811.495106734,1259231.6012163889,1032.1717529296875,-3927559.2,1259629.8,1022.4664,-3927799.2,1259239.8,1032.1718,4.0746818,0.0008894651,9.059098e-05,8.946489e-08,-0.15358919,3.006441,4.737193,4.9979525,2.981931,0.39223677,1.6929208,2.246295,0.5168756,1.3179584,0.0002710395,471.3279619990805,14.708681561069424,15.710932066636017,9.70538330078125,0.0,0.02059157122700092,0.9697375048652086,5337.467,0.6630786
895,DL-0494-F,-12.235500000053,10.7328611108992,2008-06-23,12.48,Guinee,1889,218,1619,1010,117,14,191.58471088140362,1120778900,60.0,2008-04-24,POINT (-3879734.008284639 1233192.7768254473),-3879734.008284639,1233192.7768254473,1133.6712646484375,-3879559.2,1233109.8,1132.8374,-3880129.2,1233379.8,1149.8164,6.166089,0.00054650294,-9.730227e-05,3.1695794e-08,-0.13671632,5.2411456,1.9794685,3.3501775,2.0847003,0.5389906,1.1950084,1.5633625,0.33968133,0.3781357,-0.0,193.47845304804167,437.23561332961805,0.44250387468365804,0.8338623046875,16.1451416015625,0.004309845833222823,0.3067609608887182,6187.6978,5.995197
896,DL-0495-F,-12.2775555557675,10.759888888465,2008-06-23,13.4,Guinee,1889,218,1619,1010,117,14,191.58471088140362,1120778900,60.0,2008-04-24,POINT (-3884165.384651304 1236261.1540563148),-3884165.384651304,1236261.1540563148,1124.145751953125,-3883519.2,1235929.8,1095.6635,-3883999.2,1236379.8,1119.669,6.698906,0.0006847126,-7.753533e-05,7.388108e-08,-0.19046655,2.8577619,4.522448,9.84635,3.6487894,0.57151604,1.678501,3.3763688,0.6973791,2.1811447,0.00022288428,726.1670855649974,204.12182691360616,3.5575180594103983,28.4822998046875,-4.476806640625,0.039222790967627964,0.7805823285910646,6187.6978,5.995197
897,DL-0507-F,-12.3125,10.7661111111111,2008-11-16,-0.5,Guinee,1907,225,1643,1020,116,14,162.00659014209563,1121946200,60.0,2008-09-17,POINT (-3887817.6153619136 1236925.7012109712),-3887817.6153619136,1236925.7012109712,1000.037841796875,-3887599.2,1237219.8,973.43475,-3888109.2,1236559.8,1024.7347,3.4039207,0.0010960362,-7.098404e-05,4.735403e-08,0.6628007,6.3135433,4.8781576,5.411986,6.7965107,0.38527146,5.6109476,5.9833913,3.2716005,4.121624,0.000108902954,366.2623671808719,467.9434270754382,0.7827065110625561,26.60308837890625,24.6968994140625,0.0726339661474661,0.4390551704419564,7352.799,4.2232533
898,DL-0497-F,-12.309888888465,10.8050833331214,2008-06-24,5.17,Guinee,1889,226,1672,1038,113,11,129.05663891148194,1121942850,60.0,2008-04-25,POINT (-3887617.411186124 1241453.941192036),-3887617.411186124,1241453.941192036,1001.0338134765625,-3887809.2,1241149.8,986.53796,-3887479.2,1241989.8,1030.3613,4.140781,0.000541155,-6.72408e-05,4.4228376e-08,0.56171435,2.9668043,2.6738575,2.0262997,4.237448,0.12438443,3.596499,3.6482325,1.4250126,2.3667912,-4.6505185e-05,359.6309383542728,553.3349727272052,0.649933505163736,14.495849609375,29.3275146484375,0.04030757107747811,0.39391496877277976,6288.1597,6.1769733
899,DL-0533-F,-12.1327777777778,10.8158333333333,2009-02-03,12.0,Guinee,1765,236,1723,1034,103,2,243.95831077774739,1121944080,60.0,2008-12-05,POINT (-3869184.0405319594 1242994.0367743545),-3869184.0405319594,1242994.0367743545,775.2749633789062,-3869359.2,1242619.8,764.43896,-3870019.2,1243489.8,1074.804,4.6544356,0.0002620133,-0.00029438589,9.9313205e-08,-0.7237243,4.0565343,7.437116,33.564617,5.826885,0.69605464,4.3832335,5.393807,0.10445455,5.0521865,-6.962635e-05,413.2661940538902,971.23964992402,0.42550383325703395,10.83599853515625,299.52899169921875,0.02622038456342555,0.29849364367181674,4779.988,0.037621293
900,PI-0878-F,-12.4394722223282,10.8307500002119,2008-11-25,34.02,Guinee,1934,242,1746,1060,111,10,203.96837283351266,1120786820,60.0,2008-09-26,POINT (-3901166.072289087 1244218.209609833),-3901166.072289087,1244218.209609833,868.9478149414062,-3901639.2,1244659.8,825.5339,-3901099.2,1244119.8,871.9395,4.0899067,0.0007817401,-2.6501624e-05,7.318822e-08,-0.0070902854,3.398249,4.15386,5.243349,6.0829673,0.6887894,4.7550764,6.064145,3.030072,3.8793564,0.00025955925,647.1901283654885,118.99375230360937,5.438858056296941,43.4139404296875,2.99169921875,0.06708065918639954,0.8446929577796733,7522.0776,4.273962
901,PI-0887-F,-12.413138888677,10.8354722221692,2008-12-03,4.47,Guinee,1934,242,1746,1060,111,10,203.96837283351266,1120786820,60.0,2008-10-04,POINT (-3898431.1172420224 1244809.976935363),-3898431.1172420224,1244809.976935363,960.9345703125,-3897709.2,1244809.8,958.3251,-3898249.2,1244899.8,967.3885,5.720878,0.0011242073,7.2387826e-05,6.254688e-08,0.43059897,4.2208114,4.2024546,3.3452795,3.3943944,0.07361735,2.522636,5.3619027,1.6094657,3.0674558,0.00067393354,721.8672776935595,202.81739781186403,3.559198005109861,2.6094970703125,6.45391845703125,0.0036149263873687595,0.7806631782872296,7436.88,2.8896677
